filename,enemy_visible,pickup_health,pickup_ammo,pickup_armor,explosive_barrel,no_important_object
vizdoom_ml_000000.jpg,0,1,0,0,0,0
vizdoom_ml_000005.jpg,0,1,0,0,0,0
vizdoom_ml_000010.jpg,0,1,1,0,0,0
vizdoom_ml_000020.jpg,0,0,0,0,0,1
vizdoom_ml_000025.jpg,0,0,0,0,0,1
vizdoom_ml_000040.jpg,0,0,0,0,0,1
vizdoom_ml_000050.jpg,0,0,0,0,0,1
vizdoom_ml_000060.jpg,0,0,0,1,0,0
vizdoom_ml_000065.jpg,0,0,0,1,0,0
vizdoom_ml_000075.jpg,0,0,0,0,0,1
vizdoom_ml_000090.jpg,0,0,0,0,0,1
vizdoom_ml_000095.jpg,0,0,0,0,0,1
vizdoom_ml_000100.jpg,0,0,1,0,0,0
vizdoom_ml_000105.jpg,0,0,1,0,0,0
vizdoom_ml_000110.jpg,0,0,1,0,0,0
vizdoom_ml_000120.jpg,0,0,0,0,0,1
vizdoom_ml_000150.jpg,0,0,0,0,0,1
vizdoom_ml_000165.jpg,1,0,0,0,0,0
vizdoom_ml_000180.jpg,1,0,0,0,0,0
vizdoom_ml_000195.jpg,0,0,1,0,0,0
vizdoom_ml_000200.jpg,0,0,0,0,0,1
vizdoom_ml_000220.jpg,0,0,0,0,0,1
vizdoom_ml_000230.jpg,0,0,0,0,0,1
vizdoom_ml_000235.jpg,0,0,0,0,0,1
vizdoom_ml_000245.jpg,0,0,0,0,0,1
vizdoom_ml_000260.jpg,0,0,0,0,0,1
vizdoom_ml_000295.jpg,0,0,0,0,0,1
vizdoom_ml_000310.jpg,0,0,0,0,0,1
vizdoom_ml_000315.jpg,0,0,0,0,0,1
vizdoom_ml_000330.jpg,0,0,0,0,0,1
vizdoom_ml_000345.jpg,1,0,0,0,0,0
vizdoom_ml_000365.jpg,0,0,0,0,0,1
vizdoom_ml_000385.jpg,0,0,1,0,0,0
vizdoom_ml_000390.jpg,0,1,0,0,0,0
vizdoom_ml_000395.jpg,0,1,0,0,0,0
vizdoom_ml_000405.jpg,0,1,0,0,0,0
vizdoom_ml_000415.jpg,0,0,0,0,0,1
vizdoom_ml_000465.jpg,0,0,0,0,0,1
vizdoom_ml_000470.jpg,0,0,0,0,0,1
vizdoom_ml_000495.jpg,0,0,0,0,0,1
vizdoom_ml_000515.jpg,0,0,0,1,0,0
